Source,Target,Type
Natalie Dormer,Sophie Turner,Undirected
Natalie Imbruglia,Natalie Merchant,Undirected
Neko Case,Patty Griffin,Undirected
Orinda Sue Ross,Pat Benatar,Undirected
Patti Smith,Patty Smyth,Undirected
Rachel Goswell,Rebecca Gates,Undirected
Robyn Rihanna Fenty,Beyoncé Giselle Knowles-Carter,Undirected
Romona Gonzalez,Shpresa Lleshaj,Undirected
Rose Leslie,Sophie Turner,Undirected
Santi White,Yukimi Nagano,Undirected
Sarah McLachlan,Sarah Slean,Undirected
Sharin Foo,Sheila Cecilia Escovedo,Undirected
Shingai Shoniwa,Teresa Suárez Cosío,Undirected
Sia,Skin,Undirected
Sinéad O'Connor,Tracy Chapman,Undirected
Tanita Tikaram,Tanya Donnelly,Undirected
Tessa Murray,Victoria Legrand,Undirected
Agnetha Fältskog,Anni-Frid Lyngstad,Undirected
Amy Ray,Emily Saliers,Undirected
Bilinda Butcher,Debbie Googe,Undirected
Carrie Brownstein,Corin Tucker,Undirected
Cindy Wilson,Kate Pierson,Undirected
Johanna Söderberg,Klara Söderberg,Undirected
Louise Post,Nina Gordon,Undirected
Megan Lovell,Rebecca Lovell,Undirected
Miho Hatori,Yuka Honda,Undirected
Natasha Lea Jones,Sharon Lewis,Undirected
Nelly Daltrey,Tuva Lodmark,Undirected
